title,author,tag,rating,rating_count,publisher,publish_date,price,summary,detail_url,cover_url,isbn,pages
情绪疲惫的你,[美]南希·科利尔 / 薛玮,心理学,7.2,188,浙江人民出版社,2024-7-1,58.00元,"你不是脆弱，而是总被挑剔！
心理学版《看不见的女性》，揭示人际中“默认”的女性情绪劳动
读懂这本书也就读懂了自己，以及身为妈妈、妻子的所有女性
.
【编辑推...",https://book.douban.com/subject/36943645/,https://img1.doubanio.com/view/subject/s/public/s34896268.jpg,,
为了你好,[瑞士] 爱丽丝·米勒 / 余凤霞、郑世彦,心理学,8.3,172,北京联合出版公司,2024-7,62.00,"■ “骂你是让你长记性，这是为了你好！”“不打不成器，这是为了你好！”
■ 如果折磨你的人，恰恰是“为了你好”的人……
“原生家庭”研究先驱、“创伤叙事”开...",https://book.douban.com/subject/36850961/,https://img3.doubanio.com/view/subject/s/public/s34882553.jpg,,
争论与说服,[美] 大卫·麦克雷尼 / 程璇,心理学,8.0,231,湖南科学技术出版社,2024-7,59.00,"为什么有人相信地球是平的？为什么有人不信任疫苗？为什么你觉得证据确凿的事情却总有人不相信？
在后真相时代，人们似乎无法做到理性地讨论问题。网络上的相互攻击和...",https://book.douban.com/subject/36911550/,https://img1.doubanio.com/view/subject/s/public/s34875920.jpg,,
重塑杏仁核,[美]凯瑟琳·M.皮特曼(Catherine M.Pittman) / 王羽青、黄金德,心理学,8.0,872,中国科学技术出版社,2024-7,79.00元,"本书通过追溯焦虑的根源——杏仁核，探讨了如何有效地管理焦虑。
通过设定目标、了解焦虑产生的两种途径、学习杏仁核的语言以及以睡眠、运动和饮食等方式调节杏仁核的...",https://book.douban.com/subject/36888546/,https://img3.doubanio.com/view/subject/s/public/s34860312.jpg,,
我们时代的神经与精神疾病,(美) 埃里克·坎德尔 / 喻柏雅,心理学,8.6,611,北京联合出版公司,2024-7,88.00元,"精神疾病是21世纪的流行病，全球精神疾病覆盖面已超10亿人。
比精神疾病本身更可怕的，是污名化、病耻感和歧视：精神疾病和未成年是犯罪的“免死金牌”？患上抑郁...",https://book.douban.com/subject/36930293/,https://img9.doubanio.com/view/subject/s/public/s34888926.jpg,,
伴你老去的勇气,[日] 岸见一郎 / 敬雁飞,心理学,7.6,275,人民邮电出版社,2024-7-1,59.80元,"陪伴老去的父母，更需要“被讨厌的勇气”！
老龄化时代，写给照护者的治愈之书。
独生子女、养老困境、父母难相处、阿尔茨海默病……成年人不忍面对的话题。
经典之...",https://book.douban.com/subject/36851510/,https://img3.doubanio.com/view/subject/s/public/s34834117.jpg,,
认知觉醒（百万册精装纪念版）,周岭,心理学,8.4,1087,人民邮电出版社,2024-7,79.80元,"人有两次生命，一次是出生，一次是觉醒。
百万畅销书《认知觉醒》精装纪念版，用7大底层概念，20个成长关键词，助你彻底走出焦虑与迷茫。
当你认知觉醒，何惧焦虑...",https://book.douban.com/subject/36906244/,https://img3.doubanio.com/view/subject/s/public/s34871792.jpg,,
手机断舍离,[美] 凯瑟琳·普赖斯（Catherine Price） / 关凤霞,心理学,6.7,896,机械工业出版社,2024-6-30,49,"快速摆脱手机依赖，更好利用手机的行动指南！
每天几分钟的微小改变，可以为工作和生活带来不一样的结果。适度放下手机，重归现实生活，会提高你的睡眠质量，减少压力...",https://book.douban.com/subject/36956882/,https://img1.doubanio.com/view/subject/s/public/s35354460.jpg,,
婚姻与爱情,[英] 伯特兰·罗素 / 左安浦,心理学,8.6,616,江苏凤凰文艺出版社,2024-6-30,49.9,"“结婚到底有什么意义？”
“婚姻真的是爱情的坟墓吗？”
“婚姻幸福的秘诀到底是什么？”
如果你正在被这些问题所困扰，那么这本书正适合你，因为它讲透了婚姻的全...",https://book.douban.com/subject/36718623/,https://img9.doubanio.com/view/subject/s/public/s34895395.jpg,,
心理学讲义,李松蔚,心理学,8.8,746,新星出版社,2024-6-5,99.00元,"这本《心理学讲义》通过系统、全面地讲述心理学的知识，让你不仅能够认清问题、直击本质，也能看清自己，不被各种“标签”束缚，不断探索自己人生的各种可能性。
全书...",https://book.douban.com/subject/36911178/,https://img1.doubanio.com/view/subject/s/public/s34882929.jpg,,
不被支配,[美] 沙希达·艾拉比,心理学,8.4,1096,王瑾雅,人民邮电出版社,2024-6,数千亲历者庆幸读到这本书！9种NPD鉴别法+109种断联方法+11个步骤疗愈创伤+10大幸存者逆袭真相，识破自恋人格的伪装、守护自我防线、有效断联、深度自我...,https://book.douban.com/subject/36923814/,https://img2.doubanio.com/view/subject/s/public/s34885751.jpg,,
我想太多啦,【法】克莉司德·布提可南,心理学,7.9,526,人民邮电出版社,2024-6,49.80,"让与生俱来的特质，成为你的卓越天赋！
阅读本书，拥抱敏感，走向成功！
千万不要低估任何一个高敏感的人，他们看似玻璃心、想太多、性格内向，其实天赋十足。
被誉...",https://book.douban.com/subject/36910449/,https://img1.doubanio.com/view/subject/s/public/s34874980.jpg,,
现代人的心灵问题,[瑞士] 卡尔·荣格 / 温泽元、林宏涛,心理学,8.8,198,湖南文艺出版社,2024-6,66,"★“你所遭受的痛苦，只是源于你对心灵的无知”。了解你的心灵，寻回人生的意义
★心理学大师荣格面向大众的经典名著，结合具体案例，展现心理学在生活中的运用
★畅...",https://book.douban.com/subject/36800596/,https://img9.doubanio.com/view/subject/s/public/s34877236.jpg,,
爱、性欲与母权,[美] 艾里希·弗洛姆 / 程雪芳、张龑,心理学,9.0,244,上海译文出版社,2024-6,48,"弗洛姆精彩语录
- 谁拥有这种自然生产力的神秘力量？只有女性，而人类的生命和生存依赖这种能力。 男性缺乏这种至关重要的自然生产力，难道他们不会觉得自己残缺？...",https://book.douban.com/subject/36872330/,https://img9.doubanio.com/view/subject/s/public/s34876524.jpg,,
浪漫爱情心理学,[美] 纳撒尼尔·布兰登 / 林本椿、林尧,心理学,8.1,516,上海社会科学院出版社,2024-6,59.8,"【内容简介】
真正的爱情究竟是什么样的？浪漫爱是否只是一种想象或一个奇迹？我还能获得真爱吗？为什么爱消失了？如何长久地维系爱情？
本书是著名心理学家及自尊心...",https://book.douban.com/subject/36850958/,https://img3.doubanio.com/view/subject/s/public/s34898703.jpg,,
掌控边界,[美] 特里·科尔 / 戴思琪,心理学,8.3,440,机械工业出版社,2024-6,59.80元,"建立和维持健康的个人边界，你才能活得轻松自在，拥有令人满意的关系。
个人边界包括内在边界和外在边界。内在边界是你与自己之间的关系，即自己如何对待自己；外在边...",https://book.douban.com/subject/36948750/,https://img9.doubanio.com/view/subject/s/public/s34899445.jpg,,
中年之路2,James Hollis / 苏西,心理学,7.9,474,浙江大学出版社,2024-6,59,在前作《中年之路：人格的第二次成型》中，作者一语道破了中年危机的实质：它不是一个年龄事件，而是一种心理体验，源于我们一直以来为了迎合他人期望所扮演的“临时人...,https://book.douban.com/subject/36864949/,https://img1.doubanio.com/view/subject/s/public/s34918028.jpg,,
操控,[以色列] 利拉斯·马加利特 / 骆洋,心理学,7.2,233,浙江人民出版社,2024-6,78.00元,"科技公司极力想要掩盖这则事实：人们正被人为地塑造成它们期望的样子。
请尝试回想数字世界中常见的几个场景：收到一条直击兴趣点的推送，点进阅读；跳出一个红包界面...",https://book.douban.com/subject/36914597/,https://img9.doubanio.com/view/subject/s/public/s34878904.jpg,,
成瘾的深渊,[美] 朱迪思·格里塞尔 / 李倩,心理学,8.2,412,中国人民大学出版社,2024-6,59.00元,药物滥用是全球最严重的健康问题之一。作为一位知名的神经科学家，同时也是一个正在康复的成瘾者，格里塞尔以感同身受的笔触，深入剖析了这场灾难的科学本质。她用自己...,https://book.douban.com/subject/36858435/,https://img1.doubanio.com/view/subject/s/public/s34882909.jpg,,
雅克·拉康,吴琼,心理学,9.2,336,上海文艺出版社,2024-6,168.00元（全两册）,"-编辑推荐-
○ 国内拉康研究中涵盖面最广、篇幅最庞大的专著，时隔13年修订再版
● 新增修订版序言，回顾近十年国内拉康研究的状况
○ 理解晦涩、缠绕的拉康...",https://book.douban.com/subject/36866442/,https://img2.doubanio.com/view/subject/s/public/s34857291.jpg,,
找出口的人,卡罗琳小姐 / 子青,心理学,7.8,505,北京科学技术出版社,2024-6,69,"作为抑郁症亲历者的自传体漫画，这是一部私密而坦率的作品。
卡罗琳小姐（Mademoiselle Caroline）的艺术风格直接而富有表现力，
通过简洁有力...",https://book.douban.com/subject/36908894/,https://img3.doubanio.com/view/subject/s/public/s34875373.jpg,,
难以驯化的利维坦,陈涛,社会学,9.0,46,生活·读书·新知三联书店,2026-5,89.00元,现代人创造国家以主宰命运，反受制于它对自身生存境况的重构，如何驯化这一“利维坦”构成了现代政治面临的首要挑战。本书从马克斯·韦伯“国家社会学”出发，力图揭示...,https://book.douban.com/subject/38384568/,https://img2.doubanio.com/view/subject/s/public/s35476771.jpg,,
个体化社会,[英] 齐格蒙特·鲍曼 / 成伯清、谢德霖,社会学,8.8,55,金城出版社,2026-4-1,88.00元,当我们产生烦恼和感到恐惧的时候，我们会采取行动，但我们的行动往往无法解决这些问题。在试图理清生活的头绪时，我们往往会把不快和失败归咎于自己的弱点，这样做只会...,https://book.douban.com/subject/38175824/,https://img1.doubanio.com/view/subject/s/public/s35444620.jpg,,
